Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Retrieve available users,243,24020,23838,27618,28549,30096,18252,35400,0.000%,.39278,74.38,0.05
TOTAL,243,24020,23838,27618,28549,30096,18252,35400,0.000%,.39278,74.38,0.05
