Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Retrieve available users,266,21978,22631,25767,27345,28576,3664,29508,0.000%,.42856,81.13,0.05
TOTAL,266,21978,22631,25767,27345,28576,3664,29508,0.000%,.42856,81.13,0.05
